iter	RMSE
0	18484249.07
1	17941118.31
2	17431596.13
3	16921380.58
4	16459140.04
5	16026358.39
6	15613031.19
7	15222202.97
8	14854377.9
9	14522650.9
10	14201068.36
11	13913494.58
12	13634090.5
13	13384946.92
14	13134515.15
15	12911415.44
16	12689788.63
17	12491695.91
18	12302458.67
19	12136241.56
20	11973135.14
21	11811052.33
22	11665348.72
23	11522534.69
24	11409640.38
25	11288527.71
26	11164564.19
27	11055930.16
28	10952551.18
29	10840902.08
30	10750097.24
31	10668373.3
32	10595762.48
33	10520877.28
34	10454564.39
35	10387713.63
36	10317184.05
37	10245004.37
38	10185763.95
39	10117362.33
40	10067289.06
41	10010961.86
42	9953814.236
43	9904879.897
44	9853112.965
45	9806654.367
46	9763923.095
47	9715471.848
48	9675665.819
49	9629925.244
50	9590460.256
51	9549448.2
52	9513239.302
53	9482284.641
54	9459116.09
55	9418725.224
56	9384340.315
57	9357191.265
58	9329781.548
59	9299999.176
60	9271126.111
61	9243135.632
62	9219884.817
63	9191617.2
64	9166569.103
65	9146136.535
66	9108332.419
67	9090324.887
68	9061618.984
69	9042173.854
70	9020595.998
71	8990125.954
72	8969859.191
73	8952649.442
74	8936593.017
75	8915517.841
76	8900984.517
77	8878812.943
78	8861844.621
79	8846416.95
80	8831097.741
81	8804741.024
82	8787121.842
83	8769112.684
84	8750185.977
85	8730875.773
86	8706382.323
87	8695393.682
88	8676463.964
89	8661436.559
90	8647995.467
91	8637551.549
92	8620094.398
93	8600561.525
94	8580090.477
95	8573256.319
96	8545402.676
97	8528321.888
98	8515958.259
99	8501677.91
100	8496636.806
101	8476201.395
102	8461944.88
103	8446171.155
104	8424810.79
105	8410771.16
106	8402832.854
107	8388372.52
108	8369465.189
109	8355816.374
110	8341293.305
111	8325805.869
112	8315483.603
113	8311027.823
114	8308432.949
115	8294742.257
116	8283199.181
117	8266721.075
118	8251635.092
119	8237979.245
120	8223417.923
121	8213055.147
122	8199384.796
123	8186414.981
124	8173010.226
125	8160032.022
126	8157357.486
127	8145645.765
128	8132550.939
129	8123307.146
130	8110700.988
131	8101186.337
132	8091681.353
133	8083278.71
134	8071707.684
135	8062536.803
136	8058682.923
137	8049323.679
138	8036983.928
139	8023053.763
140	8004738.745
141	7993546.773
142	7982299.71
143	7975128.497
144	7963859.618
145	7951615.737
146	7938383.805
147	7930201.309
148	7922653.339
149	7908742.245
150	7898595.919
151	7888974.149
152	7871583.325
153	7861500.13
154	7851115.568
155	7844002.862
156	7833297.374
157	7822601.807
158	7810620.103
159	7798448.601
160	7787306.054
161	7776344.385
162	7762250.847
163	7756418.936
164	7746539.175
165	7742747.228
166	7732038.7
167	7724031.004
168	7709008.817
169	7699573.704
170	7687209.089
171	7674222.702
172	7665967.501
173	7649884.392
174	7638346.682
175	7630406.897
176	7620765.475
177	7608409.296
178	7598167.692
179	7590326.583
180	7580293.53
181	7567500.609
182	7557355.667
183	7545145.854
184	7534071.389
185	7527424.537
186	7517791.967
187	7510092.766
188	7498170.829
189	7496466.599
190	7486606.429
191	7482138.977
192	7475105.966
193	7465940.982
194	7459082.069
195	7450510.578
196	7440270.792
197	7429634.551
198	7427657.893
199	7419924.468
200	7412520.933
201	7398110.484
202	7387364.945
203	7383086.316
204	7381493.82
205	7374999.05
206	7367048.368
207	7358212.019
208	7353737.118
209	7346681.75
210	7338509.622
211	7332451.07
212	7326690.049
213	7324698.948
214	7316956.275
215	7303141.697
216	7295434.15
217	7285755.893
218	7281269.121
219	7273095.472
220	7264201.781
221	7257844.427
222	7253592.03
223	7241377.147
224	7236480.829
225	7230861.664
226	7219536.175
227	7211820.648
228	7199772.059
229	7198938.498
230	7187393.293
231	7176823.828
232	7165400.066
233	7160682.24
234	7159899.572
235	7155426.034
236	7151335.679
237	7146449.088
238	7137412.574
239	7132277.543
240	7124767.565
241	7116690.338
242	7111110.425
243	7107768.017
244	7099695.667
245	7097333.79
246	7092082.37
247	7087007.398
248	7076462.316
249	7071869.712
250	7069212.865
251	7067121.761
252	7057248.731
253	7054011.631
254	7053749.483
255	7050139.929
256	7047545.916
257	7041926.511
258	7035974.302
259	7034090.347
260	7031505.047
261	7026102.255
262	7020176.832
263	7015830.746
264	7009642.405
265	6999955.96
266	6991092.275
267	6981292.647
268	6980973.52
269	6978101.245
270	6972414.749
271	6970907.629
272	6967001.617
273	6959899.559
274	6950757.589
275	6940072.164
276	6937131.023
277	6931305.928
278	6926754.193
279	6921494.395
280	6914901.387
281	6906858.273
282	6902160.34
283	6899767.771
284	6892022.93
285	6883646.642
286	6876186.508
287	6873418.613
288	6867416.326
289	6867140.057
290	6864604.761
291	6861167.808
292	6856924.658
293	6855431.179
294	6847743.671
295	6840195.664
296	6832971.127
297	6828186.62
298	6822718.74
299	6817579.699
300	6814404.957
301	6810991.709
302	6806532.52
303	6800859.202
304	6799523.85
305	6795388.276
306	6791572.583
307	6783318.403
308	6777103.517
309	6769199.69
310	6767331.123
311	6764972.865
312	6763303.906
313	6758644.018
314	6750620.421
315	6742437.485
316	6739339.539
317	6735207.884
318	6727751.738
319	6724882.052
320	6721038.661
321	6718801.644
322	6712587.95
323	6705731.734
324	6699727.718
325	6694782.953
326	6689099.779
327	6682732.169
328	6679782.942
329	6676622.609
330	6673937.992
331	6671198.256
332	6664957.183
333	6657853.14
334	6652663.338
335	6643973.654
336	6639054.762
337	6634442.947
338	6632872.415
339	6628438.222
340	6624633.805
341	6619930.262
342	6616375.36
343	6613019.673
344	6608547.223
345	6606383.886
346	6603441.301
347	6598560.874
348	6594047.923
349	6590354.154
350	6586253.538
351	6578667.618
352	6573736.426
353	6569455.33
354	6564916.692
355	6557857.501
356	6555992.249
357	6551487.231
358	6548356.622
359	6546576.161
360	6542265.672
361	6539505.67
362	6535468.101
363	6530802.259
364	6524784.313
365	6521940.546
366	6519685.341
367	6514064.565
368	6510092.252
369	6507925.866
370	6504302.829
371	6501625.8
372	6495530.974
373	6493636.926
374	6491204.479
375	6488887.601
376	6487371.526
377	6482058.517
378	6478352.664
379	6474683.721
380	6469968.123
381	6466939.211
382	6464088.811
383	6462922.894
384	6456719.241
385	6453838.066
386	6450045.112
387	6446866.861
388	6441120.551
389	6437691.666
390	6435970.827
391	6430878.556
392	6426740.111
393	6422502.774
394	6418638.625
395	6414814.405
396	6410099.433
397	6405467.477
398	6400987.934
399	6397679.855
400	6394996.987
401	6391060.643
402	6387275.753
403	6382929.158
404	6381736.121
405	6380373.368
406	6375879.78
407	6371251.502
408	6366964.099
409	6360900.984
410	6355713.449
411	6351457.369
412	6349617.363
413	6346023.757
414	6344043.124
415	6339689.844
416	6336400.81
417	6333997.062
418	6329646.07
419	6324120.967
420	6321834.781
421	6317916.808
422	6312963.179
423	6309781.854
424	6306522.352
425	6303528.106
426	6299247.725
427	6294595.987
428	6290873.398
429	6286267.178
430	6283116.741
431	6279964.367
432	6274686.474
433	6271799.088
434	6266717.194
435	6264938.846
436	6260022.182
437	6259024.495
438	6255099.215
439	6250060.991
440	6246013.727
441	6243169.598
442	6239427.152
443	6236533.344
444	6233010.182
445	6231843.791
446	6228752.394
447	6226878.76
448	6224742.251
449	6222840.636
450	6221344.255
451	6219329.931
452	6214562.522
453	6213043.286
454	6209877.712
455	6205731.76
456	6203413.489
457	6198941.16
458	6196759.271
459	6192745.64
460	6189338.125
461	6186196.174
462	6182617.245
463	6180654.416
464	6179284.967
465	6177409.28
466	6174372.496
467	6172700.134
468	6169540.17
469	6167940.671
470	6165687.017
471	6163944.088
472	6161898.002
473	6160914.299
474	6158690.195
475	6156145.026
476	6155012.418
477	6151549.962
478	6148970.694
479	6146330.358
480	6143272.72
481	6142450.028
482	6141488.684
483	6138714.886
484	6137375.376
485	6134461.991
486	6133464.973
487	6132373.226
488	6130117.95
489	6127013.45
490	6125673.911
491	6123294.812
492	6120629.506
493	6116556.475
494	6115117.977
495	6110678.083
496	6106465.202
497	6104374.325
498	6100879.475
499	6100141.819
