iter	Passed	Remaining
0	158	78921
1	178	44373
2	198	32960
3	218	27046
4	236	23429
5	257	21234
6	278	19590
7	299	18407
8	318	17392
9	337	16548
10	357	15912
11	378	15409
12	399	14952
13	419	14554
14	438	14184
15	459	13887
16	480	13643
17	502	13444
18	521	13207
19	540	12983
20	561	12801
21	581	12631
22	603	12517
23	623	12365
24	643	12233
25	663	12101
26	683	11965
27	702	11850
28	723	11748
29	743	11645
30	761	11527
31	782	11442
32	803	11374
33	825	11314
34	846	11247
35	867	11178
36	888	11113
37	907	11032
38	927	10965
39	948	10908
40	969	10855
41	988	10778
42	1009	10725
43	1029	10670
44	1051	10628
45	1072	10585
46	1093	10541
47	1113	10484
48	1133	10430
49	1152	10376
50	1172	10321
51	1191	10266
52	1212	10227
53	1234	10197
54	1255	10156
55	1275	10111
56	1294	10064
57	1316	10030
58	1340	10023
59	1362	9992
60	1383	9954
61	1402	9908
62	1423	9873
63	1443	9833
64	1463	9796
65	1483	9756
66	1502	9711
67	1525	9688
68	1548	9671
69	1569	9639
70	1590	9608
71	1610	9576
72	1631	9543
73	1651	9509
74	1672	9476
75	1695	9459
76	1716	9427
77	1737	9397
78	1757	9363
79	1777	9329
80	1800	9311
81	1821	9283
82	1840	9248
83	1860	9213
84	1881	9183
85	1903	9161
86	1922	9127
87	1941	9091
88	1960	9053
89	1980	9021
90	1999	8986
91	2020	8962
92	2040	8927
93	2059	8897
94	2078	8862
95	2099	8833
96	2120	8811
97	2140	8781
98	2161	8753
99	2181	8724
100	2201	8695
101	2221	8667
102	2242	8644
103	2263	8618
104	2282	8587
105	2302	8558
106	2322	8531
107	2344	8507
108	2365	8487
109	2387	8465
110	2408	8441
111	2428	8413
112	2447	8383
113	2467	8353
114	2490	8336
115	2510	8312
116	2531	8287
117	2552	8262
118	2573	8238
119	2593	8212
120	2613	8186
121	2632	8157
122	2652	8130
123	2672	8104
124	2693	8079
125	2714	8058
126	2736	8035
127	2756	8011
128	2776	7985
129	2796	7959
130	2817	7935
131	2839	7915
132	2861	7895
133	2882	7872
134	2902	7846
135	2922	7822
136	2943	7798
137	2963	7773
138	2984	7750
139	3003	7723
140	3024	7699
141	3042	7671
142	3064	7651
143	3083	7623
144	3104	7600
145	3124	7575
146	3145	7552
147	3165	7528
148	3185	7504
149	3206	7482
150	3226	7456
151	3245	7430
152	3265	7405
153	3285	7381
154	3306	7359
155	3325	7333
156	3344	7307
157	3363	7280
158	3383	7256
159	3403	7231
160	3424	7210
161	3443	7184
162	3462	7158
163	3482	7134
164	3502	7111
165	3522	7087
166	3542	7064
167	3561	7038
168	3581	7014
169	3601	6991
170	3621	6966
171	3639	6940
172	3658	6915
173	3677	6890
174	3697	6866
175	3717	6843
176	3737	6819
177	3758	6798
178	3778	6775
179	3796	6750
180	3815	6725
181	3834	6699
182	3853	6675
183	3874	6653
184	3895	6632
185	3916	6612
186	3937	6591
187	3958	6568
188	3978	6545
189	3998	6524
190	4019	6502
191	4040	6480
192	4059	6457
193	4078	6433
194	4099	6412
195	4120	6390
196	4140	6367
197	4159	6344
198	4172	6311
199	4192	6289
200	4214	6268
201	4234	6247
202	4256	6227
203	4276	6205
204	4296	6183
205	4316	6160
206	4337	6139
207	4359	6119
208	4379	6097
209	4398	6074
210	4419	6053
211	4439	6031
212	4461	6011
213	4484	5992
214	4504	5970
215	4523	5947
216	4542	5924
217	4561	5900
218	4581	5878
219	4603	5858
220	4622	5836
221	4642	5813
222	4662	5791
223	4683	5771
224	4704	5750
225	4725	5729
226	4745	5707
227	4765	5685
228	4785	5663
229	4795	5628
230	4815	5608
231	4835	5585
232	4854	5562
233	4873	5540
234	4894	5519
235	4914	5498
236	4935	5477
237	4956	5456
238	4977	5435
239	4996	5413
240	5016	5391
241	5037	5370
242	5056	5347
243	5077	5326
244	5097	5305
245	5117	5284
246	5138	5263
247	5159	5242
248	5179	5221
249	5200	5200
250	5219	5178
251	5238	5155
252	5258	5133
253	5276	5110
254	5283	5076
255	5303	5054
256	5324	5034
257	5344	5013
258	5364	4991
259	5383	4969
260	5403	4948
261	5424	4927
262	5444	4905
263	5463	4884
264	5484	4863
265	5504	4842
266	5525	4821
267	5545	4800
268	5564	4778
269	5583	4755
270	5601	4733
271	5621	4712
272	5643	4692
273	5668	4675
274	5688	4654
275	5709	4633
276	5728	4612
277	5748	4590
278	5769	4570
279	5789	4548
280	5808	4526
281	5829	4506
282	5848	4484
283	5868	4463
284	5889	4443
285	5910	4422
286	5929	4400
287	5950	4380
288	5969	4358
289	5990	4337
290	6010	4317
291	6030	4295
292	6051	4275
293	6071	4254
294	6091	4233
295	6114	4213
296	6133	4192
297	6152	4170
298	6171	4148
299	6191	4127
300	6210	4105
301	6230	4084
302	6250	4063
303	6269	4042
304	6288	4020
305	6306	3998
306	6326	3977
307	6348	3957
308	6368	3936
309	6389	3916
310	6410	3895
311	6430	3875
312	6450	3854
313	6476	3836
314	6500	3817
315	6522	3798
316	6545	3778
317	6567	3758
318	6594	3741
319	6616	3721
320	6638	3701
321	6659	3681
322	6682	3661
323	6705	3642
324	6727	3622
325	6749	3602
326	6771	3582
327	6793	3562
328	6816	3542
329	6838	3522
330	6860	3502
331	6882	3482
332	6905	3463
333	6927	3443
334	6952	3424
335	6973	3403
336	6996	3384
337	7018	3364
338	7040	3343
339	7062	3323
340	7086	3304
341	7108	3284
342	7130	3263
343	7153	3243
344	7176	3224
345	7198	3203
346	7217	3182
347	7236	3160
348	7255	3139
349	7274	3117
350	7293	3096
351	7312	3074
352	7331	3052
353	7350	3031
354	7368	3009
355	7388	2988
356	7409	2967
357	7429	2946
358	7450	2926
359	7469	2904
360	7489	2883
361	7509	2862
362	7529	2841
363	7549	2820
364	7571	2800
365	7590	2779
366	7610	2758
367	7631	2737
368	7653	2716
369	7673	2696
370	7694	2675
371	7713	2654
372	7732	2632
373	7752	2611
374	7773	2591
375	7792	2569
376	7811	2548
377	7831	2527
378	7850	2506
379	7874	2486
380	7894	2465
381	7913	2444
382	7933	2423
383	7952	2402
384	7973	2381
385	7994	2361
386	8013	2339
387	8033	2318
388	8052	2297
389	8072	2276
390	8092	2256
391	8115	2235
392	8136	2215
393	8155	2194
394	8175	2173
395	8194	2152
396	8216	2131
397	8236	2110
398	8256	2090
399	8276	2069
400	8295	2048
401	8315	2027
402	8336	2006
403	8356	1985
404	8375	1964
405	8393	1943
406	8412	1922
407	8432	1901
408	8453	1880
409	8473	1860
410	8494	1839
411	8512	1818
412	8531	1797
413	8551	1776
414	8571	1755
415	8590	1734
416	8610	1713
417	8629	1692
418	8651	1672
419	8670	1651
420	8690	1630
421	8711	1610
422	8731	1589
423	8751	1568
424	8771	1547
425	8789	1526
426	8808	1505
427	8829	1485
428	8848	1464
429	8867	1443
430	8886	1422
431	8905	1401
432	8926	1381
433	8946	1360
434	8966	1339
435	8986	1319
436	9006	1298
437	9025	1277
438	9046	1257
439	9066	1236
440	9085	1215
441	9105	1194
442	9124	1174
443	9145	1153
444	9166	1132
445	9187	1112
446	9208	1091
447	9228	1071
448	9248	1050
449	9268	1029
450	9292	1009
451	9314	989
452	9334	968
453	9353	947
454	9374	927
455	9395	906
456	9415	885
457	9435	865
458	9456	844
459	9476	824
460	9496	803
461	9517	782
462	9536	762
463	9556	741
464	9575	720
465	9594	699
466	9614	679
467	9634	658
468	9654	638
469	9673	617
470	9693	596
471	9712	576
472	9733	555
473	9754	535
