project_name,subheading,builder,apartment_type,price_range,bathroom_info,carpet_area
"Rustomjee Crown
NEW BOOKING","3, 4, 5 BHK Apartment in Prabhadevi, Mumbai",Rustomjee,5 BHK Apartment,₹21.75 - 27.41 Cr,nan,nan
"Lodha Divino
NEW BOOKING","2, 3, 4 BHK Apartment in Matunga, Mumbai",Lodha,4 BHK Apartment,₹7.35 - 9.03 Cr,nan,nan
"Rustomjee 180 Bayview
NEW BOOKING","2, 3, 4 BHK Apartment in Matunga West, Mumbai",Rustomjee,4 BHK Apartment,₹7.45 - 11.6 Cr,nan,nan
"Godrej Avenue Eleven
NEW BOOKING","4 BHK Apartment in Mahalaxmi, Mumbai",Godrej Properties,4 BHK Apartment,₹12.92 - 15.11 Cr,nan,nan
"Ajmera Manhattan
NEW BOOKING","2, 3 BHK Apartment in Wadala East, Mumbai",Ajmera Group,3 BHK Apartment,₹3.53 - 4.43 Cr,nan,nan
"Raheja Modern Vivarea
NEW BOOKING","3, 4, 5 BHK Apartment in Mahalaxmi, Mumbai",K Raheja Corp,5 BHK Apartment,₹21.08 Cr,nan,nan
"Park Royale
NEW BOOKING","2, 3 BHK Apartment in Marol, Mumbai",Pride Group,3 BHK Apartment,₹2.66 - 3.4 Cr,nan,nan
"Zynergy
NEW BOOKING","2 BHK Apartment in Chembur, Mumbai",AHCL,2 BHK Apartment,₹1.91 - 2.94 Cr,nan,nan
"Lodha Aura New Cuffe Parade
NEW BOOKING","3, 4 BHK Apartment in Wadala, Mumbai",Lodha,4 BHK Apartment,₹6.77 Cr,nan,nan
"Sheth Montana
NEW BOOKING","2, 3, 4 BHK Apartment in Mulund West, Mumbai",Ashwin Sheth Group,4 BHK Apartment,₹3.48 - 6.64 Cr,nan,nan
"Chandak Highscape City
NEW BOOKING","1, 2, 3 BHK Apartment in Chembur, Mumbai",Chandak Group,3 BHK Apartment,₹2.45 - 2.76 Cr,nan,nan
"Johaan Signature Isle
NEW BOOKING","1, 2, 3, 5 BHK Apartment in Matunga East, Mumbai",Johaan Realtors,5 BHK Apartment,₹11.8 Cr,nan,nan
"Kalpataru Advay
NEW BOOKING","2, 3, 4 BHK Apartment in Borivali West, Mumbai",Kalpataru,4 BHK Apartment,₹5.95 Cr,nan,nan
"Piramal Mahalaxmi
NEW BOOKING","2, 3, 4 BHK Apartment in Mahalaxmi, Mumbai",Piramal Realty,4 BHK Apartment,₹13.5 - 13.7 Cr,nan,nan
"Gagangiri Aerovista
NEW BOOKING","1, 2 BHK Apartment in Andheri East, Mumbai",Gagangiri Construction,2 BHK Apartment,₹1.43 - 1.56 Cr,nan,nan
"Lodha Regalia
NEW BOOKING","2, 3 BHK Apartment in Mulund East, Mumbai",Lodha,3 BHK Apartment,₹2.72 - 3.19 Cr,nan,nan
"Piramal Revanta
NEW BOOKING","1, 2, 3, 4 BHK Apartment in Mulund West, Mumbai",Piramal Realty,4 BHK Apartment,₹4.38 - 4.9 Cr,nan,nan
"Sagar Avenue 2
4.0
NEW BOOKING","1, 2, 3 BHK Apartment in Santacruz East, Mumbai",Sagar Shopping Developers,3 BHK Apartment,₹3 Cr,nan,nan
"Forest Hills at The Prestige City
NEW BOOKING","3, 4 BHK Apartment in Mulund West, Mumbai",Prestige Group,4 BHK Apartment,₹5.92 - 8.31 Cr,nan,nan
"One Meraki
NEW BOOKING","2, 3, 4, 5 BHK Apartment in Chembur, Mumbai",Meraki Habitats,5 BHK Apartment,Price on Request,nan,nan
"Leo Eminence
NEW BOOKING","1, 2 BHK Apartment in Bandra Kurla Complex, Mumbai",Leo Builders,2 BHK Apartment,₹2.35 Cr,nan,nan
"Lodha Bellevue Tower 3
NEW BOOKING","3, 4, 5 BHK Apartment in Mahalaxmi, Mumbai",Lodha,5 BHK Apartment,₹11.99 Cr,nan,nan
"Prestige Ocean Towers North
NEW BOOKING","4, 5 BHK Apartment in Charni Road, Mumbai",Prestige Projects,5 BHK Apartment,₹22.47 - 24.96 Cr,nan,nan
"25 South
NEW BOOKING","3, 4, 6 BHK Apartment in Prabhadevi, Mumbai",Hubtown,6 BHK Apartment,₹43.92 - 92.47 Cr,nan,nan
"L and T The Gateway
NEW BOOKING","3, 4 BHK Apartment in Sewri, Mumbai",LNT Realty,4 BHK Apartment,₹6.75 - 9.56 Cr,nan,nan
nan,nan,nan,4 BHK Apartment,₹6.75 - 9.56 Cr,nan,nan
