Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"3 BHK Flat for Sale in Supertech Complex, Chandannagar, Hooghly-Chinsurah, Kolkata",N/A,Poss. by Dec '29,N/A,"₹
41 Lac",,New Property,Unfurnished
"2 BHK Flat for Sale in 4Sight Florence Phase III, Garia, Kolkata",N/A,Poss. by Sep '27,N/A,"₹
90.9 Lac",,New Property,Unfurnished
"4 BHK Flat for Sale in Parnasree Skyway, Parnasree Palli, Kolkata",N/A,Poss. by Dec '29,N/A,"₹
1.65 Cr",,New Property,Unfurnished
"3 BHK Flat for Sale in Joyville Western Heights, Howrah, Kolkata",858 sqft,Poss. by Mar '25,N/A,"₹
58.6 Lac",3,New Property,Unfurnished
"3 BHK Flat for Sale in Tilottama, Thakurpukur, Kolkata",N/A,Poss. by Sep '25,N/A,"₹
40.4 Lac",2,New Property,Unfurnished
"3 BHK Flat for Sale in Suns Rays Place, Bally, Kolkata",N/A,Poss. by Dec '25,N/A,"₹
45.5 Lac",3,New Property,Unfurnished
"5 BHK Flat for Sale in Anassa, Eastern Metropolitan Bypass, Kolkata",N/A,Ready to Move,N/A,"₹
10.10 Cr",,New Property,Unfurnished
"4 BHK Flat for Sale in Urbana Phase 2, Anandapur, Kolkata",2846 sqft,Poss. by Dec '27,N/A,"₹
6.30 Cr",4,New Property,Unfurnished
"3 BHK Flat for Sale in Tarush Enclave, Kasba, Kolkata",812 sqft,Poss. by Dec '25,N/A,"₹
91 Lac",,New Property,Unfurnished
"2 BHK Flat for Sale in Binayak Purple, Nayabad, Kolkata",484 sqft,N/A,N/A,"₹
35.4 Lac",,New Property,Unfurnished
"4 BHK Flat for Sale in Navyom, New Alipore, Kolkata",1938 sqft,Poss. by Aug '25,N/A,"₹
3.06 Cr",,New Property,
"3 BHK Flat for Sale in Orbit Tarang, Barrackpore Trunk Road, Kolkata",816 sqft,Poss. by Dec '27,N/A,"₹
1.09 Cr",,New Property,
"5 BHK Flat for Sale in Town Square, New Town, Kolkata",N/A,Poss. by Jan '28,N/A,"₹
4.84 Cr",,New Property,
"5 BHK Flat for Sale in Town Square, New Town, Kolkata",N/A,Poss. by Jan '28,N/A,"₹
4.84 Cr",,New Property,
"3 BHK Flat for Sale in Atri Green Valley, Narendrapur Rajpur Sonarpur, Kolkata",N/A,Poss. by Dec '24,N/A,"₹
42.4 Lac",,New Property,
"4 BHK Flat for Sale in The Varanda, Lake Town, Kolkata",N/A,Poss. by Jun '29,N/A,"₹
3.14 Cr",,New Property,
"4 BHK Flat for Sale in Urbana, Anandapur, Kolkata",N/A,Poss. by Dec '27,N/A,"₹
7.99 Cr",,New Property,
"3 BHK Flat for Sale in Merlin Rise Sports Republic Phase 1 A, Rajarhat, Kolkata",N/A,Poss. by Dec '27,N/A,"₹
66.4 Lac",,New Property,
"4 BHK Flat for Sale in Siddha Eden Lakeville, Barrackpore Trunk Road, Kolkata",1935 sqft,N/A,N/A,"₹
1.68 Cr",,New Property,Unfurnished
"4 BHK Flat for Sale in Vinayak Amara, New Town, Kolkata",1516 sqft,Poss. by Jul '27,N/A,"₹
2.05 Cr",,New Property,
"2 BHK Flat for Sale in The Soul, Rajarhat, Kolkata",609 sqft,N/A,N/A,"₹
64 Lac",,New Property,Unfurnished
"4 BHK Flat for Sale in Orbit Tarang, Barrackpore Trunk Road, Kolkata",N/A,Poss. by Dec '27,N/A,"₹
1.63 Cr",,New Property,
"4 BHK Flat for Sale in Vinayak Amara, New Town, Kolkata",1765 sqft,Poss. by Jul '29,N/A,"₹
2.31 Cr",,New Property,
"4 BHK Flat for Sale in Merlin Avana, Tollygunge, Kolkata",N/A,Poss. by Dec '27,N/A,"₹
1.40 Cr",,New Property,
"3 BHK Flat for Sale in Chitrakatha, Regent Park, Kolkata",N/A,Poss. by Mar '27,N/A,"₹
1 Cr",,New Property,
"5 BHK Flat for Sale in Town Square, New Town, Kolkata",N/A,Poss. by Jan '28,N/A,"₹
4.84 Cr",,New Property,
"5 BHK Flat for Sale in Town Square, New Town, Kolkata",N/A,Poss. by Jan '28,N/A,"₹
4.84 Cr",,New Property,
"3 BHK Flat for Sale in DTC Capital City, Rajarhat, Kolkata",N/A,Poss. by Dec '27,N/A,"₹
82 Lac",,New Property,
"4 BHK Flat for Sale in Vinayak Amara, New Town, Kolkata",1516 sqft,Poss. by Jul '29,N/A,"₹
2.05 Cr",,New Property,
"3 BHK Flat for Sale in Orbit Tarang, Barrackpore Trunk Road, Kolkata",959 sqft,Poss. by Jun '27,N/A,"₹
1.28 Cr",,New Property,
"3 BHK Apartment for Sale in Century Mansion, Rajarhat Kolkata",N/A,Poss. by May '26,N/A,"₹
68.8 Lac",,New Property,
"5 BHK Apartment for Sale in PS Vaanya, New Town Kolkata",N/A,Poss. by Dec '27,N/A,"₹
4.50 Cr",,New Property,Unfurnished
"3 BHK Apartment for Sale in Town Square, New Town Kolkata",N/A,Poss. by Jan '28,N/A,"₹
2.94 Cr",3,New Property,Unfurnished
"3 BHK Apartment for Sale in Orbit Tarang, Barrackpore Trunk Road Kolkata",N/A,Poss. by Dec '27,N/A,"₹
1.09 Cr",2,New Property,Unfurnished
"4 BHK Apartment for Sale in Bhawani Inara, New Town Kolkata",N/A,Poss. by Dec '26,N/A,"₹
1.99 Cr",,New Property,Unfurnished
"2 BHK Apartment for Sale in Bhawani Bandhan, Madhyamgram Kolkata",552 sqft,Poss. by Oct '26,N/A,"₹
39.6 Lac",,New Property,Unfurnished
"2 BHK Apartment for Sale in Fortune Heights Barasat, Barasat Kolkata",N/A,Poss. by Dec '25,2 out of 11,"₹
30.5 Lac",,,
"2 BHK Apartment for Sale in SUNRISE MEADOWS, Howrah Kolkata",N/A,Poss. by Jun '28,N/A,"₹
44 Lac",2,New Property,Unfurnished
"4 BHK Villa for Sale in Mohorkoonjo, Baruipur Kolkata",N/A,Poss. by Dec '27,N/A,"₹
80 Lac",,New Property,Unfurnished
"3 BHK Apartment for Sale in Sunshine Green City, Rajarhat Kolkata",N/A,Poss. by Dec '24,N/A,"₹
41.1 Lac",,New Property,Unfurnished
"3 BHK Apartment for Sale in Bally Sky High, Bally Kolkata",N/A,Poss. by Dec '25,1 out of 12,"₹
49.2 Lac",,New Property,Unfurnished
"3 BHK Apartment for Sale in Urban Vista, Rajarhat Kolkata",N/A,Poss. by Dec '26,N/A,"₹
67 Lac",,New Property,
3 BHK Apartment for Sale in Eastern Metropolitan Bypass Kolkata,1000 sqft,Poss. by Dec '24,2 out of 4,"₹
81.8 Lac",,,
"3 BHK Apartment for Sale in One Rajarhat, New Town Kolkata",1400 sqft,Ready to Move,Upper Basement out of 25,"₹
3 Cr",,,
"3 BHK Apartment for Sale in Avidipta, Eastern Metropolitan Bypass Kolkata",1260 sqft,Ready to Move,12 out of 18,"₹
1.85 Cr",,,
"3 BHK Builder Floor for Sale in Realtech Rajvansh, Rajarhat Kolkata",N/A,Poss. by Dec '26,3 out of 4,"₹
39.7 Lac",,,
"2 BHK Apartment for Sale in Radha Kunj Galaxi, Madhyamgram Kolkata",N/A,Ready to Move,N/A,"₹
30.5 Lac",,New Property,
"3 BHK Apartment for Sale in Meena Aurum Phase 2, Gouranganagar Kolkata",N/A,Ready to Move,N/A,"₹
50.6 Lac",,New Property,
"4 BHK Apartment for Sale in Ambuja Utalika The Condoville, Mukundapur Kolkata",2950 sqft,Ready to Move,20 out of 24,"₹
4.50 Cr",,,
"2 BHK Apartment for Sale in Avidipta, Eastern Metropolitan Bypass Kolkata",N/A,Ready to Move,1 out of 18,"₹
80 Lac",,,
"3 BHK Apartment for Sale in Eden Elegante, Eastern Metropolitan Bypass Kolkata",1100 sqft,Ready to Move,1 out of 4,"₹
70 Lac",,,
"2 BHK Apartment for Sale in Sunshine Green City, Rajarhat Kolkata",N/A,Poss. by Dec '24,N/A,"₹
29.9 Lac",,New Property,
