Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"4 BHK Flat for Sale in Juhu, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
7.50 Cr",,,
"2 BHK Flat for Sale in Kanakia Silicon Valley, Powai, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.35 Cr",,,
"1 BHK Flat for Sale in Piramal Revanta, Mulund West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.31 Cr",,,
"1 BHK Flat for Sale in Piramal Revanta, Mulund West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.35 Cr",,,
"3 BHK Flat for Sale in Dosti Ambrosia, Wadala East, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.70 Cr",,,
"5 BHK Flat for Sale in Oberoi Springs, Andheri West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
9 Cr",,,
"4 BHK Flat for Sale in Lodha Park, Worli, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
8.80 Cr",,,
"3 BHK Flat for Sale in Lokhandwala Minerva, Mahalakshmi, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
8.50 Cr",,,
"3 BHK Flat for Sale in Oberoi Woods, Goregaon East, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.20 Cr",,,
"4 BHK Flat for Sale in Trump Tower, Worli, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
12 Cr",,,
"4 BHK Flat for Sale in Oberoi Sky City, Borivali East, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
6.50 Cr",,,
"3 BHK Flat for Sale in Runwal Bliss, Kanjurmarg East, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.80 Cr",,,
"5 BHK Flat for Sale in Lodha Fiorenza, Goregaon East, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
14.50 Cr",,,
"3 BHK Flat for Sale in Ekta Tripolis, Goregaon West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.75 Cr",,,
"4 BHK Flat for Sale in Union Park, Chembur, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
8 Cr",,,
"3 BHK Flat for Sale in Valencia Apartment, Andheri West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.45 Cr",,,
"2 BHK Flat for Sale in Panch Srishti, Powai, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.50 Cr",,,
"3 BHK Flat for Sale in Ekta Tripolis, Goregaon West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4 Cr",,,
"4 BHK Flat for Sale in Hiranandani Richmond, Powai, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
17 Cr",,,
"3 BHK Flat for Sale in Kabra Christina, Goregaon West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.80 Cr",,,
"3 BHK Flat for Sale in L&T Emerald Isle, Powai, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.45 Cr",,,
"4 BHK Flat for Sale in Oberoi Sky City, Borivali East, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
7 Cr",,,
"2 BHK Flat for Sale in Naman Premier, Andheri East, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.85 Cr",,,
"3 BHK Flat for Sale in Vraj Tiara, Worli, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
7.50 Cr",,,
"3 BHK Flat for Sale in Kanakia Silicon Valley, Powai, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.95 Cr",,,
"3 BHK Flat for Sale in Kalpataru Solitaire, Juhu, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
14 Cr",,,
"3 BHK Flat for Sale in Kanakia Silicon Valley, Powai, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.55 Cr",,,
"2 BHK Flat for Sale in Sheth Montana, Mulund West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.30 Cr",,,
"3 BHK Flat for Sale in Sheth Montana, Mulund West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.20 Cr",,,
"4 BHK Flat for Sale in Runwal Elegante, Andheri West, Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
7 Cr",,,
"3 BHK Apartment for Sale in Platinum Park Reach, Bandra West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
12 Cr",,,
"3 BHK Apartment for Sale in Lodha Park, Worli Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
6 Cr",,,
"4 BHK Apartment for Sale in Lodha World One, Worli Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
15.30 Cr",,,
"6 BHK Apartment for Sale in Oberoi Sky City, Borivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
10 Cr",,,
"1 BHK Apartment for Sale in Lodha Codename Bullseye, Mira Road East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
70 Lac",,,
"2 BHK Apartment for Sale in Piramal Aranya , Byculla Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.20 Cr",,,
3 BHK Apartment for Sale in Juhu Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
9.35 Cr",,,
"2 BHK Apartment for Sale in Lodha New Cuffe Parade, Wadala Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.20 Cr",,,
"3 BHK Apartment for Sale in Runwal OYT, Sion Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.50 Cr",,,
"3 BHK Apartment for Sale in Trump Tower, Upper Worli Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
8.10 Cr",,,
"1 BHK Apartment for Sale in Address 51, Bandra East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.37 Cr",,,
2 BHK Apartment for Sale in Andheri West Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
2.95 Cr",,,
"4 BHK Apartment for Sale in Chandak Greenairy, Borivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.30 Cr",,,
"3 BHK Apartment for Sale in Vasant Oasis, Andheri East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
5.25 Cr",,,
3 BHK Apartment for Sale in Andheri East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
4.70 Cr",,,
"2 BHK Apartment for Sale in Transcon Triumph Tower 3, Andheri West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.45 Cr",,,
"1 BHK Apartment for Sale in Raj Heritage 2, Mira Road East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
65 Lac",,,
"4 BHK Apartment for Sale in Trump Tower, Worli Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
9.40 Cr",,,
5 BHK Apartment for Sale in Mazgaon Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
10.50 Cr",,,
"2 BHK Apartment for Sale in K Hemani Login, Kandivali West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.65 Cr",,,
"2 BHK Apartment for Sale in Lloyds Estate, Wadala Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.59 Cr",,,
"3 BHK Apartment for Sale in North Barcelona , Mira Road East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.26 Cr",,,
"3 BHK Apartment for Sale in Arkade Crown, Borivali West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.40 Cr",,,
"3 BHK Apartment for Sale in Oberoi Eternia And Enigma, Mulund West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.66 Cr",,,
"3 BHK Apartment for Sale in Sunteck City Avenue 1, Goregaon West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.10 Cr",,,
4 BHK Apartment for Sale in Vile Parle West Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
8 Cr",,,
2 BHK Apartment for Sale in Chembur Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
2.50 Cr",,,
"3 BHK Apartment for Sale in Vasudev Paradise, Mira Road East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.43 Cr",,,
"3 BHK Apartment for Sale in Puri SeleQt, Andheri East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.80 Cr",,,
"3 BHK Apartment for Sale in Oberoi Exquisite II, Goregaon East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
6.90 Cr",,,
"2 BHK Apartment for Sale in Luxuria, Mira Road East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.10 Cr",,,
3 BHK Apartment for Sale in Vile Parle East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
6 Cr",,,
"2 BHK Apartment for Sale in Shankar Dhan Plaza, Mulund West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.85 Cr",,,
4 BHK Apartment for Sale in Juhu Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
14 Cr",,,
"3 BHK Apartment for Sale in India Bulls Sky Forest, Lower Parel Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
7.90 Cr",,,
2 BHK Apartment for Sale in Wadala East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
3.40 Cr",,,
"3 BHK Apartment for Sale in Jaswanti Gold, Kandivali West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.56 Cr",,,
"1 BHK Apartment for Sale in Evershine Millenium Paradise, Kandivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.15 Cr",,,
"3 BHK Apartment for Sale in TW Gardens, Kandivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.76 Cr",,,
"2 BHK Apartment for Sale in Chheda Greens, Mira Road East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
89.1 Lac",,,
"2 BHK Apartment for Sale in Evershine Millenium Paradise, Kandivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.68 Cr",,,
2 BHK Apartment for Sale in Borivali East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
1.76 Cr",,,
"2 BHK Apartment for Sale in Almeida Park, Bandra West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
5.50 Cr",,,
"3 BHK Apartment for Sale in Sunteck City Avenue 1, Goregaon West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.50 Cr",,,
"2 BHK Apartment for Sale in Godrej Horizon, Wadala Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.60 Cr",,,
"1 BHK Apartment for Sale in Jaykant Bliss, Borivali West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.03 Cr",,,
"2 BHK Apartment for Sale in Godrej Reserve, Kandivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.35 Cr",,,
3 BHK Apartment for Sale in Andheri West Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
3.90 Cr",,,
"1 BHK Apartment for Sale in Da Vincy Baylord , Borivali West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.10 Cr",,,
"2 BHK Apartment for Sale in TW Gardens, Kandivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.40 Cr",,,
"2 BHK Apartment for Sale in Krishna Heights, Virar West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
53 Lac",,,
"2 BHK Apartment for Sale in Omkar Alta Monte, Malad East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.99 Cr",,,
3 BHK Apartment for Sale in Santacruz West Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
5.70 Cr",,,
"3 BHK Apartment for Sale in Godrej Platinum, Vikhroli East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.85 Cr",,,
"3 BHK Apartment for Sale in Krishna Kunj Apartment Plot 74, Matunga East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
6.25 Cr",,,
3 BHK Apartment for Sale in Bandra West Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
6.50 Cr",,,
3 BHK Apartment for Sale in Vile Parle East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
5.41 Cr",,,
"2 BHK Apartment for Sale in Amardeep Anutham , Mulund East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.50 Cr",,,
5 BHK Apartment for Sale in Vile Parle East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
8.50 Cr",,,
"2 BHK Apartment for Sale in Kalpataru Crest, Bhandup West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.08 Cr",,,
"2 BHK Apartment for Sale in Vision Heights, Jogeshwari West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.10 Cr",,,
"2 BHK Apartment for Sale in Raheja Vista, Powai Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.20 Cr",,,
"2 BHK Apartment for Sale in Dheeraj Godavari Apartment, Malad West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.68 Cr",,,
"3 BHK Apartment for Sale in Dosti Eastern Bay, Wadala East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.70 Cr",,,
1 BHK Apartment for Sale in Mulund East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
1.21 Cr",,,
"3 BHK Apartment for Sale in Oberoi Sky City, Borivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
5.35 Cr",,,
2 BHK Apartment for Sale in Santacruz West Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
4.41 Cr",,,
"3 BHK Apartment for Sale in Raheja Vista, Powai Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.65 Cr",,,
2 BHK Apartment for Sale in Andheri East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
2.40 Cr",,,
"3 BHK Apartment for Sale in Piramal Revanta, Mulund West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.25 Cr",,,
2 BHK Apartment for Sale in Ghatkopar East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
1.68 Cr",,,
"2 BHK Apartment for Sale in Oasis, Kandivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.75 Cr",,,
"1 BHK Apartment for Sale in Codename One 99, Chembur East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.23 Cr",,,
"3 BHK Apartment for Sale in Shubham CHS, Andheri West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.50 Cr",,,
"2 BHK Apartment for Sale in Hiranandani Atlantis, Powai Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.40 Cr",,,
4 BHK Apartment for Sale in Santacruz East Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
6.50 Cr",,,
"2 BHK Apartment for Sale in Evershine Millenium Paradise, Kandivali East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.65 Cr",,,
"2 BHK Apartment for Sale in Runwal Orchard Residency, Ghatkopar West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.95 Cr",,,
"2 BHK Apartment for Sale in Godrej Platinum, Vikhroli East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.10 Cr",,,
3 BHK Apartment for Sale in Juhu Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
6.80 Cr",,,
"2 BHK Apartment for Sale in Jaihari Kunj, Goregaon West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.75 Cr",,,
"4 BHK Apartment for Sale in Elixir Reserve, Powai Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
4.80 Cr",,,
2 BHK Apartment for Sale in Mulund Mumbai,1500 sqft,Ready to Move,5 out of 7,"₹
1.50 Cr",,,
"4 BHK Apartment for Sale in Paradigm Artteza, Santacruz West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
7.03 Cr",,,
"2 BHK Apartment for Sale in Mansion 835, Dadar West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
3.92 Cr",,,
"2 BHK Apartment for Sale in Satre Happynest, Kanjurmarg East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.36 Cr",,,
"3 BHK Apartment for Sale in Triumph Swastik, Malad West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
2.83 Cr",,,
"1 BHK Apartment for Sale in Runwal Avenue, Kanjurmarg East Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
1.25 Cr",,,
"4 BHK Apartment for Sale in Sheth Montana, Mulund West Mumbai",1500 sqft,Ready to Move,5 out of 7,"₹
8.75 Cr",,,
