Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"3 BHK Flat for Sale in Neptune Apartments, Bhamti, Nagpur",N/A,Poss. by Dec '27,N/A,"₹
1.20 Cr",,New Property,
"3 BHK Flat for Sale in Skyline Imperial, Gorewada, Nagpur",N/A,Poss. by Dec '28,N/A,"₹
41 Lac",,New Property,
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",N/A,Poss. by Oct '25,N/A,"₹
82.3 Lac",,New Property,
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",N/A,Ready to Move,N/A,"₹
84.9 Lac",,New Property,
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",N/A,Ready to Move,N/A,"₹
82.3 Lac",,New Property,
"3 BHK Flat for Sale in Vrindavan Estate, Pipla, Nagpur",N/A,Poss. by Aug '28,N/A,"₹
70 Lac",,New Property,
"3 BHK Flat for Sale in Meher Ganga, Badil Kheda, Nagpur",N/A,Poss. by Mar '28,N/A,"₹
80 Lac",,New Property,
"3 BHK Flat for Sale in Classic Dream, Jaitala Road, Nagpur",N/A,Poss. by Jan '26,N/A,"₹
75 Lac",,New Property,
"3 BHK Flat for Sale in Geetais The Palm, Chikhali, Nagpur",N/A,Poss. by Dec '26,N/A,"₹
62 Lac",,New Property,
"3 BHK Flat for Sale in Majestic Garden, Manish Nagar, Nagpur",N/A,Poss. by Feb '25,N/A,"₹
70 Lac",,New Property,
"2 BHK Flat for Sale in Namokars Tritvam, Borgaon, Nagpur",N/A,Poss. by Dec '26,N/A,"₹
43.5 Lac",,New Property,
"3 BHK Flat for Sale in Sarika Enclave, Narendra Nagar, Nagpur",N/A,Poss. by May '25,N/A,"₹
89 Lac",,New Property,
"2 BHK Flat for Sale in TATTVA APAS, Bel Tarodi, Nagpur",N/A,Poss. by Nov '28,N/A,"₹
53.9 Lac",,New Property,
"3 BHK Flat for Sale in TATTVA APAS, Bel Tarodi, Nagpur",N/A,Poss. by Nov '28,N/A,"₹
73.5 Lac",,New Property,
"3 BHK Flat for Sale in Mansarovar Paradise, New Manish Nagar, Nagpur",N/A,Poss. by Nov '24,N/A,"₹
75 Lac",,New Property,
"2 BHK Flat for Sale in Tithi Residency 2, Narendra Nagar, Nagpur",N/A,Poss. by Jan '27,N/A,"₹
62 Lac",,New Property,
"3 BHK Flat for Sale in Officers Enclave, Bel Tarodi, Nagpur",N/A,Poss. by Jan '26,N/A,"₹
70.7 Lac",2,New Property,Unfurnished
"2 BHK Flat for Sale in Kamla Sahaniwas, Hajaripahad, Nagpur",N/A,Ready to Move,N/A,"₹
20.6 Lac",,New Property,Unfurnished
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",1798 sqft,Poss. by Oct '24,N/A,"₹
80.9 Lac",3,New Property,Semi-Furnished
"4 BHK Flat for Sale in Maxx Glory, Manish Nagar, Nagpur",N/A,Ready to Move,N/A,"₹
1.03 Cr",4,New Property,Semi-Furnished
"6 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",N/A,Poss. by Dec '27,N/A,"₹
1.25 Cr",7,New Property,Unfurnished
"2 BHK Flat for Sale in Greenfield 4, Hingna, Nagpur",N/A,Poss. by Dec '25,N/A,"₹
25.9 Lac",,New Property,Semi-Furnished
"2 BHK Flat for Sale in Aakar Park, Besa, Nagpur",N/A,Poss. by Dec '25,N/A,"₹
33.3 Lac",,New Property,Unfurnished
"2 BHK Flat for Sale in Aditya Residency, Pipla, Nagpur",953 sqft,Poss. by May '26,2 out of 10,"₹
52.9 Lac",,New Property,Unfurnished
"3 BHK Flat for Sale in Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",N/A,Poss. by Mar '25,2 out of 13,"₹
47 Lac",,New Property,Furnished
"3 BHK Flat for Sale in Nakshatra Apartment, Manish Nagar, Nagpur",1990 sqft,Poss. by Mar '28,N/A,"₹
89.6 Lac",3,New Property,Semi-Furnished
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",1441 sqft,Poss. by Dec '24,4 out of 13,"₹
61.2 Lac",,,
