Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"3 BHK Flat for Sale in R7 LIFE REPUBLIC, Hinjawadi, Pune",850 sqft,Ready to Move,Upper Basement out of 22,"₹
90 Lac",,,
"3 BHK Flat for Sale in Sinhgad Road, Pune",1200 sqft,Ready to Move,11 out of 18,"₹
1.35 Cr",,,
"3 BHK Flat for Sale in Kolte Patil Life Republic, Hinjawadi, Pune",1188 sqft,Ready to Move,14 out of 22,"₹
99.3 Lac",,,
"3 BHK Flat for Sale in K Raheja Gardens, Wanowrie, Pune",N/A,Ready to Move,6 out of 10,"₹
1.50 Cr",,,
"2 BHK Flat for Sale in Kolte Patil Life Republic, Hinjawadi, Pune",870 sqft,Ready to Move,9 out of 22,"₹
79.5 Lac",,,
"3 BHK Flat for Sale in Mont Vert Belbrook, Bhugaon, Bavdhan, Pune",1326 sqft,Ready to Move,10 out of 11,"₹
1.12 Cr",,,
"3 BHK Flat for Sale in Kolte Patil Life Republic, Hinjawadi, Pune",1250 sqft,Ready to Move,12 out of 22,"₹
1.05 Cr",,,
"3 BHK Flat for Sale in Viman Platinum, Viman Nagar, Pune",1400 sqft,Ready to Move,3 out of 4,"₹
1.65 Cr",,,
"2 BHK Flat for Sale in Megapolis Mystic, Hinjawadi, Pune",915 sqft,Ready to Move,10 out of 21,"₹
79 Lac",,,
"2 BHK Flat for Sale in Ceratec Presidential Towers, Ravet, Pimpri Chinchwad, Pune",792 sqft,Poss. by Dec '27,16 out of 38,"₹
87 Lac",,,
"3 BHK Flat for Sale in The Ark Voyage To The Stars, NIBM Road, Pune",2200 sqft,Ready to Move,4 out of 17,"₹
3 Cr",,,
"3 BHK Flat for Sale in K Ville, Ravet, Pimpri Chinchwad, Pune",863 sqft,Poss. by Dec '26,9 out of 13,"₹
80 Lac",,,
"3 BHK Flat for Sale in Megapolis, Hinjawadi, Pune",961 sqft,Poss. by Dec '25,14 out of 21,"₹
79.8 Lac",,,
"3 BHK Flat for Sale in Godrej River Royale, Mahalunge, Pune",1688 sqft,Poss. by Aug '28,18 out of 39,"₹
2.50 Cr",,,
"2 BHK Flat for Sale in Nirman Cosmopolis, Tathawade Pimpri Chinchwad, Pune",820 sqft,Poss. by Jun '26,10 out of 22,"₹
84 Lac",,,
"2 BHK Flat for Sale in Venkatesh Graffiti Glover, Keshav Nagar Mundhwa, Pune",760 sqft,Ready to Move,10 out of 18,"₹
80 Lac",,,
"2 BHK Flat for Sale in Malpani Vivanta, Balewadi, Pune",N/A,Ready to Move,8 out of 12,"₹
1.20 Cr",,,
"2 BHK Flat for Sale in Elina Living, NIBM Road, Pune",830 sqft,Ready to Move,6 out of 20,"₹
90 Lac",,,
"3 BHK Flat for Sale in Lodha Magnus, Hinjawadi, Pune",1388 sqft,Poss. by Jun '27,11 out of 36,"₹
1.70 Cr",,,
"3 BHK Flat for Sale in Riverdale Grand, Kharadi, Pune",1417 sqft,Poss. by Sep '26,18 out of 28,"₹
2.11 Cr",,,
"4 BHK Flat for Sale in Verde Residence collection, Kalyani Nagar, Pune",2765 sqft,Ready to Move,9 out of 15,"₹
9 Cr",,,
"3 BHK Flat for Sale in Life Republic Aros, Hinjawadi, Pune",1060 sqft,Poss. by Dec '27,5 out of 22,"₹
95 Lac",,,
"4 BHK Flat for Sale in Merlin Ventana, Baner, Pune",1460 sqft,Poss. by Dec '28,11 out of 23,"₹
2.10 Cr",,,
"4 BHK Flat for Sale in Acropolis Purple Nine Hills, NIBM Road, Pune",1650 sqft,Ready to Move,10 out of 14,"₹
2.10 Cr",,,
"2 BHK Flat for Sale in Bramha Sky One, NIBM Annexe Area, Pune",738 sqft,Ready to Move,8 out of 11,"₹
46 Lac",,,
"3 BHK Flat for Sale in Marvel Isola II, NIBM Road, Pune",1650 sqft,Ready to Move,11 out of 12,"₹
2.25 Cr",,,
"4 BHK Flat for Sale in Abil Imperial Atria Tower 2, Baner, Pune",2528 sqft,Poss. by Jun '25,8 out of 21,"₹
4.22 Cr",,,
"2 BHK Flat for Sale in Surya Skies, Punawale, Pimpri Chinchwad, Pune",711 sqft,Poss. by Dec '24,5 out of 13,"₹
55.7 Lac",,,
"4 BHK Flat for Sale in Kalpataru Jade Residences, Baner, Pune",2600 sqft,Ready to Move,15 out of 20,"₹
4.85 Cr",,,
"4 BHK Flat for Sale in Kothrud, Pune",1986 sqft,Poss. by Mar '25,8 out of 11,"₹
3.24 Cr",,,
"3 BHK Apartment for Sale in Kohinoor Uptown Avenue, Punawale, Pimpri Chinchwad Pune",1276 sqft,Poss. by Dec '29,N/A,"₹
1.65 Cr",,New Property,
"4 BHK Apartment for Sale in Gera GreensVille SkyVillas, Kharadi Pune",2200 sqft,Ready to Move,9 out of 9,"₹
2.50 Cr",,,
1 BHK Apartment for Sale in Narhe Pune,469 sqft,Ready to Move,4 out of 12,"₹
42 Lac",,,
"3 BHK Apartment for Sale in Giritirtha Solasta, Ravet, Pimpri Chinchwad Pune",980 sqft,Poss. by Dec '25,2 out of 12,"₹
75 Lac",,,
"3 BHK Apartment for Sale in Marvel Isola, NIBM Road Pune",3420 sqft,Ready to Move,12 out of 12,"₹
2.19 Cr",,,
"4 BHK Apartment for Sale in Rohan Harita, Tathawade Pimpri Chinchwad Pune",1740 sqft,Poss. by Jun '27,10 out of 27,"₹
1.85 Cr",,,
"2 BHK Apartment for Sale in Venkatesh Bliss, Undri Pune",800 sqft,Ready to Move,7 out of 12,"₹
62 Lac",,,
"3 BHK Apartment for Sale in Megapolis Mystic, Hinjawadi Pune",1140 sqft,Ready to Move,2 out of 21,"₹
1.04 Cr",,,
"2 BHK Apartment for Sale in Adreno Towers, Amanora Park Town Pune",720 sqft,Ready to Move,N/A,"₹
1.20 Cr",,Resale,
"2 BHK Apartment for Sale in Paranjape Blue Ridge, Hinjawadi Pune",1025 sqft,Ready to Move,19 out of 30,"₹
1.20 Cr",,,
"2 BHK Apartment for Sale in Venkatesh Graffiti Glover, Keshav Nagar Mundhwa Pune",822 sqft,Ready to Move,14 out of 18,"₹
82.5 Lac",,,
"3 BHK Apartment for Sale in Madhu Pushpa, Wakad Pune",1220 sqft,Ready to Move,3 out of 12,"₹
1.25 Cr",,,
"3 BHK Apartment for Sale in The Latitude, NIBM Road Pune",1200 sqft,Ready to Move,5 out of 13,"₹
1.20 Cr",,,
"3 BHK Apartment for Sale in kalashree nanded city, Nanded Pune",650 sqft,Ready to Move,14 out of 18,"₹
71 Lac",,,
"3 BHK Apartment for Sale in Nyati Esteban I, Undri Pune",1600 sqft,Ready to Move,4 out of 12,"₹
1.49 Cr",,,
"3 BHK Apartment for Sale in Pristine O2 World Part 1, Kharadi Pune",1393 sqft,Poss. by Dec '26,15 out of 21,"₹
1.36 Cr",,,
"3 BHK Apartment for Sale in Ashok Meadows, Hinjawadi Pune",1200 sqft,Ready to Move,6 out of 15,"₹
1.52 Cr",,,
"3 BHK Apartment for Sale in Paranjape Blue Ridge, Hinjawadi Pune",1200 sqft,Ready to Move,18 out of 22,"₹
1.14 Cr",,,
"2 BHK Apartment for Sale in Fortaleza, Kalyani Nagar Pune",950 sqft,Ready to Move,4 out of 11,"₹
1.50 Cr",,,
"3 BHK Apartment for Sale in KUL Vtp Cygnus Nation R1 Tower 8, Kharadi Pune",1055 sqft,Ready to Move,12 out of 26,"₹
1.10 Cr",,,
"2 BHK Apartment for Sale in Godrej Hillside, Mahalunge Pune",710 sqft,Ready to Move,16 out of 22,"₹
75 Lac",,,
"2 BHK Apartment for Sale in METROLIFE, Tathawade Pimpri Chinchwad Pune",680 sqft,Ready to Move,5 out of 10,"₹
74.4 Lac",,,
"4 BHK Apartment for Sale in One North, Magarpatta Pune",N/A,Ready to Move,4 out of 15,"₹
6 Cr",,,
"3 BHK Apartment for Sale in Kalpataru Jade Residences, Baner Pune",1700 sqft,Ready to Move,8 out of 20,"₹
3.33 Cr",,,
"3 BHK Apartment for Sale in Life Republic Sector R22 Avenue Atmos, Hinjawadi Pune",1037 sqft,Poss. by Dec '28,17 out of 22,"₹
95 Lac",,,
"3 BHK Apartment for Sale in Venkatesh Erandwane Central, Erandwane Pune",1373 sqft,Poss. by Sep '26,N/A,"₹
3.39 Cr",,New Property,
"4 BHK Villa for Sale in Supreme Villagio, Somatane Pune",1900 sqft,Poss. by Dec '26,N/A,"₹
2.65 Cr",,New Property,
"2 BHK Apartment for Sale in Ashiana Malhar, Hinjawadi Pune",N/A,Poss. by Mar '28,N/A,"₹
84 Lac",,New Property,Unfurnished
"1 BHK Apartment for Sale in Boston, Charholi BK Pune",531 sqft,Poss. by Dec '26,N/A,"₹
48 Lac",,New Property,Unfurnished
"3 BHK Apartment for Sale in Mirai Phase 1, Punawale, Pimpri Chinchwad Pune",1020 sqft,Poss. by Dec '26,7 out of 17,"₹
1.12 Cr",,New Property,Unfurnished
"3 BHK Apartment for Sale in Elina Luxe, NIBM Annexe Area Pune",1144 sqft,Poss. by Dec '26,N/A,"₹
1.34 Cr",3,New Property,Unfurnished
"4 BHK Apartment for Sale in Suvidhi Apartment, Yerawada, Airport Road Pune",1675 sqft,Ready to Move,N/A,"₹
3.22 Cr",,New Property,Unfurnished
